Searched Subject header,EbookID,Call Number (leave blank),Title,Author,Publication Year,Subject_Headers,Thumbnail Link (copy image address),Link to Library Record
Mnemonics,e011,,How memory works--and how to make it work for you,"Madigan, Robert",2015,"Mnemonics, Memory",https://www.syndetics.com/index.php?isbn=9781462520398/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/cat.6596079.item.6596079-2001?holding=6r18yp0wtxi1f9ab
Mnemonics,e012,,"Innovative mnemonics in chemical education
A handbook for classroom lectures","Das, Arijit",2019,"Chemistry — Textbooks,
Mnemonics",http://books.google.com/books/content?id=JryzDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://search.lib.byu.edu/byu/record/cat.7169695.item.7169695-1001?holding=qke7bxg8cn4q78kl
Creative ability,e013,,"Creative inquiry
From ideation to implementation","Stewart, Mary",2021,"Creative ability, imagination",https://www.syndetics.com/index.php?isbn=1438486111/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7298736.item.7298736-1001?holding=beuxvmzhn1srmrtj
Creative ability,e014,,"The Psychology of Artistic Creativity
An Existential-Phenomenological Study.","Funch, Bjarne Sode",2021,Creative ability,https://www.syndetics.com/index.php?isbn=9781000528534/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7418129.item.7418129-1001?holding=unnz1de7k33mwu7d
Genius,e015,,The Wiley handbook of genius,"Simonton, Dean Keith",2014,"Genius, Genius — Handbooks, manuals, etc",https://www.syndetics.com/index.php?isbn=9781118367353/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/cram.110.EBC1699136.1?holding=uxr3okwz0lighwoa
Genius,e016,,"The creating brain
The neuroscience of genius","Andreasen, Nancy C.",2005,"Neuropsychology, Genius, Creative ability",https://www.syndetics.com/index.php?isbn=1932594078/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/sfx.3455514?holding=0eim53ozygg6b9b7
Psychological Tests,e017,,"Test Bias in Employment Selection Testing
A Visual Introduction","Stetz, Thomas A. ",2022,"Personnel management,
Psychology, Industrial,
Psychological tests",https://www.syndetics.com/index.php?isbn=9783030899257/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.121.978-3-030-89925-7.1?holding=efqvheuo6x1ankt8
Psychological Tests,e018,,An introduction to psychological tests and scales,"Loewenthal, Kate Miriam",2021,Psychological Tests,https://www.syndetics.com/index.php?isbn=1315561387/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7204151.item.7204151-1001?holding=axrxa0ktmxpb8h6k
Intellect,e019,,AI vs. humans,"Eysenck, Michael W.",2022,"Intellect,
Artificial intelligence — Data processing,
Robotics — Human factors",https://www.syndetics.com/index.php?isbn=1000481441/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7389414.item.7389414-1001?holding=m17ynjsvr7zlx1rh
Intellect,e020,,The evolution of human cleverness,"Hallam, Richard S.",2022,"Intellect, Cognition, Reasoning, Intelligence",https://www.syndetics.com/index.php?isbn=9781000584318/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7423537.item.7423537-1001?holding=ds13ilayqskqqe6d
Ability -- Testing,e021,,"Preschool assessment
Principles and practices","Brassard, Marla R.",2007,"Child development — Evaluation,
Ability — Testing,
Education, Preschool",https://images-na.ssl-images-amazon.com/images/I/41-LrnN4+HL.jpg,https://search.lib.byu.edu/byu/record/cram.110.EBC320584.1?holding=c2t96fu194el4huu
Ability -- Testing,e022,,"Assessing organization agility
Creating diagnostic profiles to guide transformation","Worley, Christopher G.",2014,"Organizational change,
Ability — Testing,
Business,
Management",https://www.syndetics.com/index.php?isbn=9781118847091/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/cram.110.EBC1662681.1?holding=vyudl5b8moa0rzro
Children -- Intelligence testing,e023,,Essentials of WISC-V integrated assessment,"Raiford, Susan Engi",2017,"Wechsler Preschool and Primary Scale of Intelligence,
Children — Intelligence testing,
Child development — Testing",https://www.syndetics.com/index.php?isbn=9781119370444/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/cram.110.EBC5057719.1?holding=gz2xetkgwasyu4bl
Children -- Intelligence testing,e024,,"WISC-V assessment and Interpretation
Scientist-practitioner perspectives","Weiss, Lawrence G.",2015,"Children — Intelligence testing, Children — Intelligence testing — United States",https://www.syndetics.com/index.php?isbn=9780124051850/lc.jpg&client=SIRSI,https://search.lib.byu.edu/byu/record/cram.110.EBC2055015.1?holding=ei2y0i36uorvez1s
Multiple intelligences,e025,,"A synthesizing mind
A memoir from the creator of multiple intelligences theory","Gardner, Howard",2020,"Gardner, Howard, 1943-,
Psychologists — Biography,
Multiple intelligences",https://www.syndetics.com/index.php?isbn=9780262359603/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cat.7172595.item.7172595-1001?holding=11e1tzqhs0sm2twi
Multiple intelligences,e026,,Multiple intelligences in the classroom,"Armstrong, Thomas",2018,"Teaching,
Cognitive styles,
Learning,
Multiple intelligences",https://www.syndetics.com/index.php?isbn=9781416625117/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.110.EBC5154000.1?holding=eym23z3c8uuagh2r
Intelligence Levels,e027,,Understanding intelligence,"Richardson, Ken",2022,"Eugenics,
Intelligence levels,
Intellect",https://www.google.com/imgres?imgurl=https%3A%2F%2Fbooks.google.com%2Fbooks%2Fcontent%3Fid%3DiIv6-rxTCkoC%26printsec%3Dfrontcover%26img%3D1%26zoom%3D1%26edge%3Dcurl%26imgtk%3DAFLRE71F_lg7cVWgUvC1oQeq-KwNEIJz9_5KP1oQo46li4ESxY4BoQn5sgVnswU1-8Z-HJRzmskbrt5ZcAftEs0lPcOjUrcqVruKNYC3XoLjt0s-Om1N-z5D_G8qWB2T1zJ32C4UErEo&imgrefurl=https%3A%2F%2Fbooks.google.com%2Fbooks%2Fabout%2FUnderstanding_Intelligence.html%3Fid%3DiIv6-rxTCkoC&tbnid=FnxtfLzAg2VFpM&vet=12ahUKEwjD_bLlk6z4AhXDnGoFHQxoCV8QMygAegUIARC6AQ..i&docid=pRd3p2dIHAKo-M&w=128&h=183&q=Understanding%20intelligence%20google%20books&hl=en&gl=us&ved=2ahUKEwjD_bLlk6z4AhXDnGoFHQxoCV8QMygAegUIARC6AQ,https://search.lib.byu.edu/byu/record/cram.135.CR9781108937757.1?holding=xoy3jli5lg44nmhk
Intelligence Levels,e028,,"Language, intelligence, and thought","Barrow, Robin",2015,"Intellect,
Education — Philosophy,
Intelligence levels",https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41jr9dnuoaL._SX313_BO1%2C204%2C203%2C200_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FLanguage-Intelligence-Thought-Routledge-Revivals%2Fdp%2F1138925837&tbnid=b3BUp9ihlSJ3VM&vet=12ahUKEwj63quflKz4AhUgADQIHVPuAgwQMygAegUIARC3AQ..i&docid=nuaQnz73UMxhQM&w=315&h=499&itg=1&q=Language%2C%20intelligence%2C%20and%20thought&hl=en&gl=us&ved=2ahUKEwj63quflKz4AhUgADQIHVPuAgwQMygAegUIARC3AQ,https://search.lib.byu.edu/byu/record/cram.110.EBC3569463.1?holding=fz9g5s5hio2v7qrd
Mental efficiency,e029,,"Future brain
The 12 keys to create your high-performance brain","Brockis, Jenny",2016,"Mental efficiency,
Brain,
Mental health,
Cognitive neuroscience,
Neuroplasticity",https://www.syndetics.com/index.php?isbn=9780730322504/lc.jpg&client=sirsi,https://search.lib.byu.edu/byu/record/cram.126.ocn952488237.1?holding=spln1ks4a2ypsp6t
Mental efficiency,e030,,"How (not) to train the brain
Enhancing what's between your ears with (and without) science","Raz, Amir",2019,"Brain,
Mental efficiency,
Intelligence tests",http://books.google.com/books/content?id=LN-RDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://search.lib.byu.edu/byu/record/cat.7075084.item.7075084-1001?holding=bitei2qateuhkd45
